ISO3,CTSCode,Year,Measurements
GRC,ECCS,1965,-0.328
GRL,ECCS,1965,0.869
GRD,ECCS,1965,-0.16
GLP,ECCS,1965,-0.356
GTM,ECCS,1965,-0.083
GUF,ECCS,1965,-0.2
GIN,ECCS,1965,-0.107
GNB,ECCS,1965,-0.387
GUY,ECCS,1965,-0.033
HTI,ECCS,1965,-0.18
VAT,ECCS,1965,-0.427
HND,ECCS,1965,-0.07
HUN,ECCS,1965,-0.877
ISL,ECCS,1965,-0.175
IND,ECCS,1965,-0.068
IDN,ECCS,1965,-0.203
IRN,ECCS,1965,-0.276
IRQ,ECCS,1965,-0.102
IRL,ECCS,1965,-0.557
IMN,ECCS,1965,-0.587
ISR,ECCS,1965,-0.033
ITA,ECCS,1965,-0.424
JAM,ECCS,1965,-0.235
JPN,ECCS,1965,-0.524
